,sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,feedback_type,trial,SP_peak_response,FB_peak_response,preStim_bl,anticipation
2265,034,2,2,csm,4a.png,1,1,224,20,156,225,1,0,313,neu_feedback_onset,12,5.508870816914852,,4.65177,0.0338800000000008
2266,034,2,2,csm,63a.png,1,1,196,209,13,197,1,1,276,neu_feedback_onset,13,10.355121709043644,0.6406960688553897,4.59251,-0.05195499999999953
2267,034,2,2,csp,25b.png,1,0,280,NaN,NaN,280,1,1,325,pos_feedback_onset,14,5.293516092171047,,4.581265,
2268,034,3,2,csp,46b.png,1,1,136,40,-96,NaN,0,1,369,neg_feedback_onset,1,,1.2156854275108733,4.715734999999999,
2269,034,3,2,csm,29a.png,1,1,344,238,-106,345,1,1,268,neu_feedback_onset,2,7.207259863108516,2.001152813758904,4.876125,
2270,034,3,2,csm,42a.png,1,0,72,NaN,NaN,73,1,1,268,neu_feedback_onset,3,5.045550326835958,2.158135107331666,4.740910000000001,
2271,034,3,2,csm,53a.png,1,1,76,312,-124,76,1,1,287,neu_feedback_onset,4,11.366345626218095,0.8300487469456502,4.492165,-0.005664999999999587
2272,034,3,2,csp,34b.png,1,1,228,160,-68,229,1,1,217,pos_feedback_onset,5,,,4.6965900000000005,
2273,034,3,2,csp,23b.png,1,1,324,278,-46,NaN,0,0,336,neg_feedback_onset,6,5.623309764738012,,4.79593,
2274,034,3,2,csp,31b.png,1,0,352,NaN,NaN,352,1,0,443,neg_feedback_onset,7,,1.552971093231672,4.573635,
2275,034,3,2,csp,32b.png,1,1,0,54,54,1,1,1,277,pos_feedback_onset,8,,0.1487798374101617,4.832510000000001,0.3208800000000016
2276,034,3,2,csm,38a.png,1,1,328,251,-77,328,1,1,427,neu_feedback_onset,9,7.408194701170638,,4.8690000000000015,
2277,034,3,2,csp,33b.png,1,1,48,60,12,48,1,1,360,pos_feedback_onset,10,,2.311899814213061,4.485369999999999,-0.1430600000000002
2278,034,3,2,csm,47a.png,1,1,32,192,160,32,1,1,531,neu_feedback_onset,11,5.601541041656938,3.731250984425723,4.814925,
2279,034,3,2,csm,27a.png,1,1,200,199,-1,199,1,1,235,neu_feedback_onset,12,1.8122896832460622,,4.662610000000001,-0.08327999999999935
2280,034,3,2,csm,3a.png,1,1,356,264,-92,357,1,0,406,neu_feedback_onset,13,0.56844744343451,0.7317065725382454,4.83422,
2281,034,3,2,csp,9b.png,1,1,316,233,-83,315,1,1,301,pos_feedback_onset,14,5.284589620488246,1.6869803858261279,4.808415,
2282,034,4,2,csm,55a.png,1,1,236,235,-1,236,1,1,763,neu_feedback_onset,1,0.16457440667751227,5.2212774633684065,5.119265,
2283,034,4,2,csp,47b.png,1,1,68,101,33,69,1,1,233,pos_feedback_onset,2,,,4.768444999999999,0.023414999999999964
2284,034,4,2,csp,39b.png,1,1,152,140,-12,152,1,1,258,pos_feedback_onset,3,,9.013910410267943,4.84134,0.2177049999999996
2285,034,4,2,csp,30b.png,1,1,80,151,71,80,1,1,219,pos_feedback_onset,4,0.9827869896440093,2.5620571229839584,4.828615000000001,
2286,034,4,2,csm,18a.png,1,1,216,243,27,NaN,0,1,376,neu_feedback_onset,5,,,4.4790849999999995,
2287,034,4,2,csp,41b.png,1,1,156,109,-47,155,1,1,367,pos_feedback_onset,6,,,4.610124999999999,
2288,034,4,2,csp,8b.png,1,1,132,232,100,NaN,0,1,259,neg_feedback_onset,7,,,4.704690000000001,
2289,034,4,2,csp,7b.png,1,1,144,145,1,144,1,1,325,pos_feedback_onset,8,,9.192117380975782,4.42866,
2290,034,4,2,csm,34a.png,1,1,308,290,-18,307,1,1,223,neu_feedback_onset,9,3.192002786168775,7.098594461217632,4.838185,-0.38695999999999753
